arm,repeat,block_m,tiles,rows_per_expert,tokens,copies,experts_declared,ms_p50,ms_min,ms_stdev,iters,trials,warmup_ms,instrument,sm_clock_load_mhz,clock_level_ok,clock_level_side,clock_drift_ok,l2_flush,status,detail,duty,power_w,duty_achieved,calls_per_burst,gap_ms,gap_basis,head_ms,tail_ms,within_burst_ok,clock_samples_mhz,host_bound,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
native,0,32,1,32,128,1,8,0.7550559937953949,0.7381119728088379,0.06533722847514059,264,3,353.5481912493706,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1725.0,False,high,False,True,ok,,1.0,533.438,,,,,,,,1665 1665 1755 1755 1785 1785 1725 1725 1755 1755 1125 1125 1365,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
shared,0,32,1,32,128,1,72,0.7726399898529053,0.7473919987678528,0.02152274655833299,265,3,390.4358398914337,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1515.0,True,,False,True,ok,,1.0,693.304,,,,,,,,1620 1620 1620 1620 1605 1605 1485 1485 1425 1425 1425 1425 1515,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
private,0,32,1,32,128,1,72,0.7741920053958893,0.7449920177459717,0.018285281219251395,256,3,366.36678516864777,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1492.5,True,,True,True,ok,,1.0,693.96,,,,,,,,1500 1680 1680 1560 1560 1485 1485 1440 1440 1455 1455 1515,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
native,0,32,2,64,256,1,8,1.4725439548492432,1.4023040533065796,0.028764670894253053,137,3,359.83171248435974,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1477.5,True,,True,True,ok,,1.0,691.297,,,,,,,,1530 1635 1635 1515 1515 1470 1470 1440 1440 1455 1455 1485,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
shared,0,32,2,64,256,1,72,1.4776320457458496,1.4324480295181274,0.020302978492391047,137,3,362.3950707912445,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1485.0,True,,True,True,ok,,1.0,692.3565,,,,,,,,1545 1590 1590 1515 1515 1470 1470 1485 1485 1470 1470 1470,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
private,0,32,2,64,256,2,72,1.5113600492477417,1.4790079593658447,0.01818511342756458,133,3,387.93974804878235,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1477.5,True,,False,True,ok,,1.0,695.8644999999999,,,,,,,,1560 1560 1485 1485 1485 1485 1470 1470 1440 1440 1455 1455,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
native,0,32,3,96,384,1,8,2.2093600034713745,2.136928081512451,0.022182940187995857,92,3,366.00460720062256,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1470.0,True,,True,True,ok,,1.0,695.624,,,,,,,,1530 1530 1485 1485 1470 1470 1455 1455 1470 1470 1470 1470,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
shared,0,32,3,96,384,1,72,2.2088639736175537,2.1552000045776367,0.022496170827584823,91,3,369.5224325656891,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1455.0,True,,True,True,ok,,1.0,695.587,,,,,,,,1500 1500 1500 1500 1455 1455 1455 1455 1455 1455 1455 1455,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
private,0,32,3,96,384,3,72,2.235167980194092,2.211008071899414,0.02996597882419216,88,3,350.8251507282257,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1447.5,True,,False,True,ok,,1.0,692.9355,,,,,,,,1485 1485 1440 1440 1455 1455 1425 1425 1455 1455 1410 1410,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
native,0,32,4,128,512,1,8,2.9117119312286377,2.855936050415039,0.022601394998790495,69,3,353.70473766326904,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1470.0,True,,True,True,ok,,1.0,693.801,,,,,,,,1485 1515 1515 1470 1470 1455 1455 1455 1455 1470 1470 1455,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
shared,0,32,4,128,512,1,72,2.9231679439544678,2.8806400299072266,0.021860943491572433,69,3,355.4766743183136,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1470.0,True,,True,True,ok,,1.0,693.088,,,,,,,,1485 1485 1485 1470 1470 1470 1470 1455 1455 1455 1455 1440,False,4376.986183297403,"measured on this device: NVIDIA H200 (measured), 4377.0 GB/s (triad pattern)",13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,148.4861331836758,"measured on this device: NVIDIA H200 (measured), 649.9 TFLOP/s bf16 over 4377.0 GB/s (triad pattern); calibrated 2026-09-24 at c09b3535 DIRTY TREE",,200.0,2.13.0,3.7.1,2026-09-24T05:15:53+00:00,0.27.1,300.0
